"tx","wc","x","y"
0,0,139.58325195,7
0,0,11.375,4
1,31,57.4375,4
1,34,101.42547607,8
1,43,7.0869560242,0
1,20,108.27081299,373
0,0,11.270828247,2
1,12,101.29162598,1
0,0,11.291664124,13
0,0,12.837837219,0
1,10,64.416625977,57
0,0,49.659545898,26
1,19,31.479156494,1
0,0,5.2291641235,3
1,15,6.8510627747,0
0,0,1.8958330154,5
0,0,141.10412598,168
1,48,78.21270752,0
0,0,39.229156494,3
1,23,266.69555664,2510
0,0,39.020812988,25
0,0,5.170211792,33
0,0,2.3555545807,3
0,0,46.645812988,0
1,12,209.89575195,630
0,0,22.166656494,3
1,24,46.604156494,20
1,19,64.25,56
0,0,64.020812988,275
1,28,56.020812988,370
0,0,51.229156494,106
0,0,26.125,0
0,0,19.354156494,12
0,0,192.10412598,90
1,76,25.145828247,0
1,12,83.0625,165
0,0,65.531860352,110
0,0,30.895828247,0
0,0,37.416656494,106
1,13,68.479125977,154
0,0,5.8604621887,288
0,0,24.270828247,20
0,0,86.085083008,0
0,0,22.3125,63
0,0,27.340423584,1
1,20,27.854156494,40
1,20,17.4375,0
0,0,67.270812988,345
1,17,7.4583320618,135
0,0,62.479156494,17
1,11,29.354156494,67
0,0,56.875,1001
0,0,22.304336548,0
0,0,319.91650391,340
0,0,10.958328247,0
0,0,7.3043441772,1
0,0,58.723388672,1
0,0,20.829772949,165
1,134,52.25,10
1,8,24.152160645,4
0,0,28.255310059,0
1,2,51.958312988,0
1,12,29.604156494,42
0,0,182.76086426,0
0,0,39.479156494,8
1,9,104.54162598,51
0,0,14.270828247,194
1,39,28.083328247,204
0,0,30.041656494,18
0,0,39.5625,242
0,0,8.375,85
0,0,66.375,213
0,0,122.54162598,127
0,0,103.14581299,39
1,86,13.25,1
1,9,69.770812988,102
0,0,67.851013184,30
0,0,4.7272720337,0
0,0,75.043457031,4
1,22,47,206
1,22,55.354156494,0
0,0,37.270812988,100
1,13,49.583312988,4
1,47,60.083312988,16
0,0,52.088867188,0
1,13,117.08331299,80
0,0,276.625,268
1,11,35.5,46
0,0,106.35412598,1
0,0,9.2083282471,0
0,0,123.16662598,60
0,0,153.39123535,2
1,28,68.729125977,13
0,0,42.583312988,8
1,14,5.1666641235,0
0,0,22.208328247,221
0,0,35.875,63
0,0,2.2826080322,5
1,12,53.708312988,0
1,35,4.7777748108,21
1,25,101.25531006,272
0,0,85.416625977,36
0,0,16.270828247,0
0,0,32.333312988,15
0,0,7.9347801208,2
1,33,130.39575195,801
0,0,34.191467285,0
1,6,174.75,12
1,17,1.9375,8
0,0,0.6097559929,0
0,0,21.541656494,104
1,3,36.791656494,0
0,0,30.625,14
0,0,45.375,49
0,0,50.1875,67
0,0,256.35400391,182
1,12,25.604156494,2
1,1,152,181
0,0,348.875,12
1,38,37.125,85
1,2,70.208312988,0
1,24,32.270812988,105
1,13,81.041625977,304
0,0,115,20
0,0,28.170211792,0
0,0,8.1041641235,222
1,27,2.9069766998,2
0,0,113.6875,10
0,0,99.916625977,8
1,15,104.45831299,17
0,0,65.458312988,0
0,0,59.604156494,1
0,0,92.666625977,1
0,0,6.1499977112,4
1,13,165.58325195,57
1,38,93.666625977,160
0,0,28.145828247,93
0,0,27.208328247,4
1,11,3.7916660309,500
1,92,14.934776306,0
1,6,12.979164124,0
1,6,31.145828247,110
1,8,1.9574460983,0
1,26,6.5833320618,3
0,0,59.604156494,0
1,10,33.833312988,239
0,0,18.395828247,25
0,0,6.9534873962,0
0,0,35.531890869,206
0,0,21.25,108
1,13,39.854156494,108
0,0,35.666656494,193
1,16,82.645812988,139
