enrolldt,price,downpmt,monthdue,pmttype,use,age,gender,default
19970429,1671.62,150,8.5,1,0,42,1,1
19970109,789,37,4,1,1,21,2,1
19970117,699,5,5.5,1,1,22,1,1
19970313,1329.31,64,5.96,1,0,39,2,1
19970102,949,0,4,1,0,24,1,1
19970106,949,50,4,1,0,30,2,1
19970115,949,5,4,1,0,22,1,1
19970218,699,30,5.5,1,0,25,2,1
19970107,979,0,5.5,1,0,27,1,1
19970324,1038.97,25,5.84,1,0,27,1,1
19970108,1179,49,5.5,1,1,23,2,1
19970225,1497,100,2.75,1,0,37,2,1
19970219,859,5,5.5,1,0,22,1,1
19970307,999,5,5.5,1,0,25,1,1
19970607,1018.16,5,5.72,1,1,21,2,1
19970201,789,40,4,1,0,28,1,1
19970314,599,50,5.5,1,1,29,2,1
19970419,1058,125,2.75,1,0,31,1,1
19970210,1059.77,60,2.98,1,0,21,1,1
19970216,648.42,25,5.96,1,0,31,1,1
19970129,599,5,5.5,1,0,28,2,1
19970121,1018.16,150,5.72,1,0,24,1,1
19970121,893.36,50,5.72,1,0,22,1,1
19970208,1411.28,85,5.72,1,0,4,1,1
19970203,1513.68,150,5.83,1,0,4,1,1
19970409,1037.74,25,5.83,1,1,32,1,1
19970513,1037.74,250,5.83,1,0,21,2,1
19970701,1882.56,100,4.24,1,0,32,2,1
19970117,1179,100,5.5,1,0,23,2,1
19970203,1179,44,5.5,1,0,21,2,1
19970104,1428,175,15,1,0,51,2,1
19970529,1428,50,5.5,1,0,27,1,1
19970102,1428,75,10,1,0,43,1,1
19970103,1179,50,10,1,0,27,1,1
19970108,2358,88,10,1,0,36,2,1
19970316,599,50,6,1,0,21,2,1
19970125,999,100,5.5,1,0,21,1,1
19970116,599,25,8.5,1,0,48,2,1
19970129,1651.1,35,5.83,1,0,33,1,1
19970217,1229,46,8,1,0,26,2,1
19970219,2458,10,8,1,0,30,2,1
19970403,1009,50,4,1,1,30,2,1
19970410,1478,94,4,1,0,36,1,1
19970324,899,150,2,1,0,30,1,1
19970404,949,50,2,1,0,41,2,1
19970612,689,35,4,1,0,27,2,1
19970825,799,20,3,1,0,20,2,1
19971209,349,20,3,1,0,22,2,1
19980625,1024,5,4,1,0,22,2,1
19970116,1018.16,150,5.72,1,0,26,1,1
19970127,1838.19,100,5.86,1,0,17,2,1
19970401,979,150,5.5,1,0,28,2,1
19970217,2358,10,5.5,1,0,31,1,1
19970325,1527.96,75,5.89,1,1,3,1,1
19970120,925.58,50,5.93,1,0,28,2,1
19970129,914.84,100,5.86,1,6,20,1,1
19970708,349,19,3,1,1,29,1,1
19970724,349,20,3,1,0,21,1,1
19970324,1777.62,150,4.37,1,1,24,1,1
19970212,599,5,5.5,1,0,33,2,1
19970428,949,50,2.75,1,0,29,1,1
19970222,599,26,5.5,1,0,25,1,1
19970325,1179,50,5.5,1,1,29,1,1
19970104,648.42,25,5.96,1,0,43,1,1
19970213,1329.31,65,5.96,1,0,22,2,1
19970304,648.42,25,5.96,1,0,0,2,1
19970310,1199.41,60,5.96,1,0,29,1,1
19970317,1199.41,75,5.96,1,0,24,2,1
19970328,1117.14,100,4.46,1,0,53,2,1
19970423,1059.77,25,5.96,1,0,26,1,1
19970610,1059.77,50,5.96,1,0,26,1,1
19970618,1296.84,30,5.96,1,0,28,1,1
19970706,823.79,50,4.23,1,0,29,1,1
19970716,474.82,20,4.23,1,2,26,1,1
19970821,474.82,20,4.23,1,1,20,2,1
19970326,1317.03,65,5.9,1,0,26,1,1
19970514,2208,150,5.5,1,0,21,1,1
19970113,999,39,5.5,1,0,19,2,1
19970206,2095.06,20,5.89,1,0,28,1,1
19970521,640.93,25,5.89,1,0,25,2,1
19970731,1073.21,75,17,1,0,26,2,1
19970302,1033.03,100,21,1,0,36,2,1
19970417,723.43,100,19,1,0,29,1,1
19970112,1276.27,44,5.96,1,0,21,1,1
19970205,929.87,35,5.96,1,0,36,1,1
19970221,1059.77,40,5.96,1,0,27,2,1
19970107,640.93,25,5.89,1,1,28,1,1
19970128,919.13,60,5.89,1,0,21,1,1
19970516,1185.56,50,5.89,1,0,28,2,1
19970709,1313.96,30,17,1,0,21,1,1
19970824,480.43,19,4.28,1,0,33,1,1
19970902,1313.96,50,4.28,1,1,25,1,1
19971020,865.63,50,5.89,1,1,22,1,1
19970823,970.07,50,15,1,0,3,1,1
19971201,873.73,150,18,1,0,39,2,1
19971215,1484.4,120,15,1,0,28,1,1
19980212,1098.89,150,14.5,1,0,29,2,1
19980502,1141.1,65,15.25,1,0,2,2,1
19980606,641.46,25,29,3,0,29,2,1
